KEY,FACE_TYPE,CLIENT_ID,SKU_ID,TRACKING_LEVEL,OWNER_ID,ORIGIN_ID,CONDITION_ID,SPEC_CODE,SITE_ID,LOCATION_ID,ZONE_1,TRIGGER_QTY,MIN_REPLEN_QTY,MAX_TASK_QTY,MAX_RELD_REPLEN,AUTO_REPLEN,REPLEN_WHOLE,ABC_FREQUENCY,ABC_STORAGE,ABC_DISABLE,BATCH_REPLEN_MODE,START_DSTAMP,END_DSTAMP,QTY_ON_HAND,QTY_ALLOCATED,QTY_DUE,PRIMARY_FACE,MAXIMUM_QTY,OVERFILL_RELATIVE_QTY,REPLEN_TRACKING_LEVEL,CE_INV_TYPE,CE_UNDER_BOND,MULTIPLE_LOCATIONS,REPLEN_ON_HOLD,REPLEN_TO_TRIGGER,REPLEN_SPLIT_TO_FIT,MAX_LOCATIONS,FROM_LOCATION,TO_LOCATION,FROM_AISLE,TO_AISLE,FROM_BAY,TO_BAY,FROM_LEVEL,TO_LEVEL,USER_DEF_TYPE_1,USER_DEF_TYPE_2,USER_DEF_TYPE_3,USER_DEF_TYPE_4,USER_DEF_TYPE_5,USER_DEF_TYPE_6,USER_DEF_TYPE_7,USER_DEF_TYPE_8,USER_DEF_CHK_1,USER_DEF_CHK_2,USER_DEF_CHK_3,USER_DEF_CHK_4
64210,F,M+S,20001335,,M+S,,VETCERT,,9771,AR73A02,,1,800,,,Y,N,,,N,N,,,740,620,0,Y,800,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,20,,,N,N,N,N
70767,F,M+S,21053505,,M+S,,VETCERT,,9771,BF16A02,,1,1300,,,Y,N,,,N,N,,,970,1480,1300,N,1300,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,10,,,N,N,N,N
64216,F,M+S,60585660,,M+S,,,,9771,AQ73A02,,50,,,,Y,Y,,,N,N,,,480,640,800,N,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,10,,,N,N,N,N
64681,F,M+S,60072955,,M+S,,,,9771,WC64A01,,40,,,,Y,Y,,,N,N,,,392,48,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,8,0,,N,N,N,N
61751,F,M+S,60542694,,M+S,,,,9771,AZ51A02,,970,,,,Y,Y,,,N,N,,,4230,220,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,10,,,N,N,N,N
64693,F,M+S,60437728,,M+S,,,,9771,WD46A02,,30,,,,Y,Y,,,N,N,,,624,228,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,6,0,,N,N,N,N
61755,F,M+S,60603554,,M+S,,,,9771,AZ54A02,,432,,,,Y,Y,,,N,N,,,816,372,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
61443,F,M+S,60149156,,M+S,,,,9771,AQ32A01,,60,,,,Y,Y,,,N,N,,,156,156,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
61758,F,M+S,60478478,,M+S,,,,9771,AZ58A02,,1,3003,,,Y,N,,,N,N,,,1690,1440,0,Y,3003,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,10,,,N,N,N,N
70768,F,M+S,21053505,,M+S,,VETCERT,,9771,BF21A01,,1,1300,,,Y,N,,,N,N,,,160,1520,2600,N,1300,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,10,,,N,N,N,N
