DATE,USER_ID,REPLEN_SKIP_FROM_LOC,REPLENISH_TO_LOC,REPLEN_AISLE,SKIP_AISLE,AISLE_DISTANCE,TIME_TO_SKIP,,,,
26/10/2024,RASHZA,VF44G01,BC39A01,BC,VF,44,4.266784,,,,
26/10/2024,RASHZA,VF44G01,BC39A01,BC,VF,44,197.365434,,,,
26/10/2024,RASHZA,VF44G01,BC39A01,BC,VF,44,263.803968,,,,
26/10/2024,RASHZA,VF44G01,BC39A01,BC,VF,44,296.097929,,,,
26/10/2024,RASHZA,VF44G01,BC39A01,BC,VF,44,306.22229,,,,
27/10/2024,WOODPE,VHOUTJ01,BA33A01,BA,VH,44,31.515074,,,,
28/10/2024,MACIMA,VF68N02,BC07A01,BC,VF,44,58.438786,,,,
28/10/2024,MIKODO,VG24N02,BB39A02,BB,VG,44,3.612773,,,,
29/10/2024,MATHVI,VGOUTJ02,BB02A02,BB,VG,44,2.443119,,,,
29/10/2024,MEHMAK,VFOUTA01,BC44A02,BC,VF,44,851.421993,,,,
29/10/2024,STIRAN,VG80N02,BB02A02,BB,VG,44,1.575298,,,,
30/10/2024,RAJEJA,VFOUTE01,BC42A02,BC,VF,44,4.582704,,,,
31/10/2024,WOODPE,VG42C01,BB03A01,BB,VG,44,1133.676466,,,,
31/10/2024,WOODPE,VG42C01,BB03A01,BB,VG,44,3088.213899,,,,
01/11/2024,LANKJA,VF40N01,BC26A01,BC,VF,44,24.067424,,,,
01/11/2024,PRZEPA,VG11C02,BB51A02,BB,VG,44,68248.06497,,,,
01/11/2024,WOODTO,VFOUTG01,BC54A02,BC,VF,44,3.346372,,,,
01/10/2024,IRSHHA,VEOUTG02,BC11A01,BC,VE,43,435.058173,,,,
01/10/2024,IRSHHA,VEOUTG02,BC11A01,BC,VE,43,739.446521,,,,
01/10/2024,IRSHHA,VEOUTG02,BC11A01,BC,VE,43,840.34822,,,,
01/10/2024,IRSHHA,VEOUTG02,BC11A01,BC,VE,43,852.526027,,,,
01/10/2024,WOODPE,VG52A01,BA33A01,BA,VG,43,18.033528,,,,
01/10/2024,WOODPE,VG17E01,BA33A01,BA,VG,43,19.610796,,,,
02/10/2024,GHAZRE,VFOUTL02,BB29A01,BB,VF,43,12.454662,,,,
02/10/2024,RASHZA,VFOUTL02,BB02A02,BB,VF,43,1.944686,,,,
03/10/2024,ANDRDR,VCOUTA01,BE51A02,BE,VC,43,321.316204,,,,
03/10/2024,EBRAMO,VCOUTA01,BE77A01,BE,VC,43,39.627579,,,,
03/10/2024,NAVJSI,VCOUTA01,BE67A02,BE,VC,43,731.688862,,,,
03/10/2024,SANDDE,VCOUTA01,BE66A02,BE,VC,43,343.120481,,,,
04/10/2024,DHILGU,VJ38A02,AY23A01,AY,VJ,43,1230.951246,,,,
04/10/2024,DHILGU,VJ53A01,AY23A01,AY,VJ,43,1232.594682,,,,
04/10/2024,DHILGU,VGOUTJ02,BA33A01,BA,VG,43,5.60686,,,,
06/10/2024,MANSUS,VF25A01,BB59A02,BB,VF,43,177.488866,,,,
06/10/2024,MANSUS,VF05C02,BB59A02,BB,VF,43,179.913978,,,,
07/10/2024,BIBIHA,VFOUTA01,BB58A01,BB,VF,43,10.033228,,,,
07/10/2024,KHASH,VE78G02,BC03A02,BC,VE,43,702.563986,,,,
08/10/2024,MUHAJA,VF74N02,BB33A02,BB,VF,43,3.132407,,,,
08/10/2024,MUHAJA,VF74N02,BB16A01,BB,VF,43,2.5587020000000003,,,,
11/10/2024,MILABA,VEOUTN01,BC69A02,BC,VE,43,367.590909,,,,
11/10/2024,MILABA,VEOUTN01,BC69A02,BC,VE,43,377.85643,,,,
13/10/2024,DAYAEB,VFOUTA02,BB07A01,BB,VF,43,4.166825,,,,
13/10/2024,DAYAEB,VFOUTA02,BB07A01,BB,VF,43,5.186634,,,,
13/10/2024,DAYAEB,VFOUTA02,BB07A01,BB,VF,43,87.355792,,,,
13/10/2024,DAYAEB,VFOUTA02,BB07A01,BB,VF,43,88.713957,,,,
13/10/2024,GRIFJO,VE18G01,BC68A02,BC,VE,43,99.661754,,,,
13/10/2024,WOODPE,VH75E02,AZ42A02,AZ,VH,43,22.469255,,,,
16/10/2024,KABIWA,VJOUTA02,AY26A02,AY,VJ,43,747.605102,,,,
16/10/2024,KABIWA,VJOUTA02,AY26A02,AY,VJ,43,748.871504,,,,
18/10/2024,MALIRA,VL58A02,AW51A02,AW,VL,43,165.282654,,,,
18/10/2024,SINGAN,VL58A02,AW05A01,AW,VL,43,262.892364,,,,
19/10/2024,KUMAAJ,VFOUTL02,BB48A02,BB,VF,43,2.543491,,,,
19/10/2024,SHAHCH,VL76A02,AW66A01,AW,VL,43,61.398282,,,,
20/10/2024,WOODPE,VG35C02,BA01A01,BA,VG,43,642.643203,,,,
21/10/2024,WOODPE,VC49E02,BE12A01,BE,VC,43,41.531264,,,,
21/10/2024,WOODPE,VG49A01,BA09A01,BA,VG,43,160.496488,,,,
21/10/2024,WOODPE,VF44N01,BB02A01,BB,VF,43,4120.607726,,,,
21/10/2024,WOODPE,VF64N02,BB02A01,BB,VF,43,4121.985486,,,,
21/10/2024,WOODPE,VF44N01,BB02A01,BB,VF,43,4144.402648,,,,
21/10/2024,WOODPE,VF64N02,BB02A01,BB,VF,43,4145.890902,,,,
22/10/2024,JAWAAL,VEOUTA01,BC42A01,BC,VE,43,20.722375,,,,
22/10/2024,SEMEHA,VD61A01,BD38A01,BD,VD,43,619.646686,,,,
23/10/2024,KHANRA,VFOUTJ02,BB18A01,BB,VF,43,32.050061,,,,
25/10/2024,HOLMNA,VHOUTE01,AZ18A01,AZ,VH,43,548.828808,,,,
26/10/2024,MATHVI,VAOUTE01,BG04A01,BG,VA,43,37.752374,,,,
26/10/2024,MATHVI,VAOUTA02,BG04A01,BG,VA,43,40.344899,,,,
27/10/2024,RAJEJA,VEOUTA02,BC08A01,BC,VE,43,102.292409,,,,
28/10/2024,BUTTAZ,VFOUTA02,BB07A02,BB,VF,43,128.103891,,,,
28/10/2024,BUTTAZ,VFOUTA02,BB07A02,BB,VF,43,132.417648,,,,
28/10/2024,STIRAN,VF46N02,BB07A02,BB,VF,43,16.402732,,,,
29/10/2024,KARDZO,VG80N02,BA72A01,BA,VG,43,2.7644320000000002,,,,
29/10/2024,MANJSI,VH29G02,AZ07A02,AZ,VH,43,8.53136,,,,
29/10/2024,MATHVI,VEOUTE02,BC57A01,BC,VE,43,34.120042,,,,
29/10/2024,MEHMAK,VFOUTJ02,BB10A01,BB,VF,43,114.553086,,,,
29/10/2024,PITUMI,VF33E01,BB73A01,BB,VF,43,12.682026,,,,
29/10/2024,PITUMI,VFOUTC01,BB21A01,BB,VF,43,3.9252409999999998,,,,
29/10/2024,PITUMI,VFOUTC01,BB36A01,BB,VF,43,3.152198,,,,
29/10/2024,PITUMI,VFOUTC01,BB07A01,BB,VF,43,7.086518,,,,
29/10/2024,PITUMI,VF51G02,BB07A01,BB,VF,43,7.785876,,,,
29/10/2024,PITUMI,VFOUTC01,BB22A02,BB,VF,43,29.139786,,,,
29/10/2024,PITUMI,VFOUTC01,BB22A02,BB,VF,43,37.233986,,,,
29/10/2024,PITUMI,VF53A01,BB22A02,BB,VF,43,3982.365186,,,,
29/10/2024,PITUMI,VF22J02,BB22A02,BB,VF,43,6126.953669,,,,
29/10/2024,PITUMI,VF22J02,BB22A02,BB,VF,43,6135.519902,,,,
29/10/2024,PITUMI,VFOUTG02,BB08A02,BB,VF,43,12.454553,,,,
29/10/2024,PITUMI,VFOUTG02,BB08A02,BB,VF,43,679.910874,,,,
29/10/2024,SHAHAN,VEOUTJ02,BC72A01,BC,VE,43,531.742252,,,,
30/10/2024,CHARRA,VL18A01,AW56A01,AW,VL,43,5.242414,,,,
31/10/2024,SEMEHA,VFOUTL02,BB51A02,BB,VF,43,30.886141,,,,
31/10/2024,WOODPE,VF72N01,BB08A01,BB,VF,43,323.715888,,,,
31/10/2024,WOODPE,VF42A02,BB08A01,BB,VF,43,325.298745,,,,
31/10/2024,WOODPE,VF72N01,BB08A01,BB,VF,43,336.609408,,,,
31/10/2024,WOODPE,VF70A01,BB03A01,BB,VF,43,3086.82555,,,,
01/11/2024,PRZEPA,VF64A02,BB51A02,BB,VF,43,68242.94742,,,,
01/11/2024,SHAHCH,VEOUTC02,BC22A01,BC,VE,43,47.099792,,,,
01/11/2024,WOODTO,VEOUTE02,BC26A01,BC,VE,43,1.368307,,,,
30/09/2024,DAYAEB,VGOUTJ02,AZ70A01,AZ,VG,42,62.303935,,,,
30/09/2024,STIRAN,VD65N02,BC26A01,BC,VD,42,1.1169229999999999,,,,
30/09/2024,WOODPE,VE34A01,BB02A01,BB,VE,42,80.937918,,,,
30/09/2024,WOODPE,VE52A02,BB02A01,BB,VE,42,82.431058,,,,
30/09/2024,WOODPE,VE05J01,BB02A01,BB,VE,42,83.876607,,,,
30/09/2024,WOODPE,VE09A01,BB02A01,BB,VE,42,85.272148,,,,
30/09/2024,WOODPE,VE41C02,BB02A01,BB,VE,42,86.502711,,,,
01/10/2024,GHAZRE,VDOUTE02,BC61A01,BC,VD,42,693.125043,,,,
01/10/2024,GHAZRE,VDOUTJ01,BC61A01,BC,VD,42,712.271491,,,,
01/10/2024,WOODPE,VFOUTE02,BA33A01,BA,VF,42,15.93559,,,,
02/10/2024,DAYAEB,VFOUTL02,BA11A01,BA,VF,42,5.339134,,,,
03/10/2024,EBRAMO,VBOUTL01,BE77A01,BE,VB,42,190.86624,,,,
03/10/2024,TALHKH,VDOUTL01,BC72A01,BC,VD,42,2.9814119999999997,,,,
04/10/2024,DHILGU,VFOUTN02,BA33A01,BA,VF,42,3.097033,,,,
04/10/2024,LABUJA,VHOUTC02,AY14A02,AY,VH,42,257.210536,,,,
05/10/2024,EBRAMO,VBOUTA02,BE31A02,BE,VB,42,7.011119,,,,
05/10/2024,LANKJA,VG17N02,AZ42A02,AZ,VG,42,1.656346,,,,
06/10/2024,MIKODO,VJ57A02,AX30A01,AX,VJ,42,1543.015338,,,,
06/10/2024,PRZEPA,VE22E01,BB51A02,BB,VE,42,1824.38072,,,,
06/10/2024,WILMCH,VHOUTL01,AY67A02,AY,VH,42,6.697817,,,,
07/10/2024,MANSUS,VE02E02,BB71A01,BB,VE,42,309.724706,,,,
07/10/2024,WADECA,VD71N02,BC66A01,BC,VD,42,1.69739,,,,
13/10/2024,GRIFJO,VD71A02,BC68A02,BC,VD,42,83.80795,,,,
13/10/2024,GRIFJO,VD71A02,BC68A02,BC,VD,42,96.690566,,,,
15/10/2024,BIBIHA,VHOUTJ02,AY18A02,AY,VH,42,10.166762,,,,
15/10/2024,BIBIHA,VHOUTJ02,AY18A02,AY,VH,42,17.881781,,,,
17/10/2024,GHAZRE,VD21G02,BC77A01,BC,VD,42,800.837471,,,,
17/10/2024,TAJINSIN,VG71E01,AZ66A02,AZ,VG,42,49.327901,,,,
18/10/2024,SINGKA,VL58A02,AU35A01,AU,VL,42,2.8315479999999997,,,,
19/10/2024,IRSHHA,VL38A02,AU22A01,AU,VL,42,3.153218,,,,
21/10/2024,AMALIK,VL12A01,AU76A01,AU,VL,42,1.0275859999999999,,,,
21/10/2024,WOODPE,VF64N02,BA09A01,BA,VF,42,157.505559,,,,
21/10/2024,WOODPE,VF44N01,BA09A01,BA,VF,42,158.90316,,,,
21/10/2024,WOODPE,VF55E01,BA10A01,BA,VF,42,463.662556,,,,
22/10/2024,WOODPE,VE37C02,BB48A02,BB,VE,42,70.590343,,,,
23/10/2024,GHAZRE,VL68A02,AU75A01,AU,VL,42,426.861052,,,,
25/10/2024,KABIWA,VCOUTA01,BD64A02,BD,VC,42,168.435282,,,,
25/10/2024,SHAHCH,VCOUTG01,BD06A01,BD,VC,42,1.476441,,,,
25/10/2024,SHAHCH,VDOUTG01,BC80A01,BC,VD,42,28.81854,,,,
26/10/2024,EBRAMO,VC31A01,BD15A02,BD,VC,42,28.582938,,,,
26/10/2024,JAWAAL,VC11A01,BD60A02,BD,VC,42,5.005928,,,,
26/10/2024,MANJSI,VL72A01,AU08A01,AU,VL,42,9.02226,,,,
26/10/2024,MATHVI,VL72A01,AU61A01,AU,VL,42,18.886999,,,,
26/10/2024,MATHVI,VL78A01,AU61A01,AU,VL,42,20.636401,,,,
27/10/2024,TAJINSIN,VEOUTC01,BB02A02,BB,VE,42,267.328599,,,,
27/10/2024,WOODPE,VF26G01,BA33A01,BA,VF,42,29.372852,,,,
28/10/2024,LEVIKE,VG79N02,AZ66A02,AZ,VG,42,10.596632,,,,
28/10/2024,STIRAN,VG79N01,AZ59A01,AZ,VG,42,2.488299,,,,
29/10/2024,MACIMA,VEOUTJ02,BB21A01,BB,VE,42,6.34459,,,,
29/10/2024,MACIMA,VEOUTJ02,BB36A01,BB,VE,42,5.993891,,,,
29/10/2024,MATHVI,VDOUTL02,BC57A01,BC,VD,42,35.280212,,,,
29/10/2024,MATHVI,VDOUTC02,BC57A01,BC,VD,42,36.13769,,,,
29/10/2024,RASHZA,VCOUTC01,BD06A02,BD,VC,42,109.912625,,,,
29/10/2024,RASHZA,VCOUTN02,BD59A01,BD,VC,42,2.101223,,,,
30/10/2024,BUTTAZ,VJOUTA01,AX26A01,AX,VJ,42,264.243781,,,,
30/10/2024,KABIWA,VL08A01,AU25A01,AU,VL,42,2.092301,,,,
30/10/2024,KABIWA,VL08A01,AU25A01,AU,VL,42,15.249819,,,,
30/10/2024,MUHAZE,VL08A01,AU21A01,AU,VL,42,180.504037,,,,
30/10/2024,PANKPA,VD14N02,BC64A01,BC,VD,42,5.344115,,,,
30/10/2024,RASHZA,VL08A01,AU53A01,AU,VL,42,2.457764,,,,
30/10/2024,SAMAAB,VDOUTJ02,BC77A02,BC,VD,42,133.381672,,,,
30/10/2024,SINGKA,VL18A01,AU67A02,AU,VL,42,2.402146,,,,
01/11/2024,KHASH,VEOUTE01,BB61A01,BB,VE,42,28.721516,,,,
01/11/2024,KHASH,VEOUTE01,BB61A01,BB,VE,42,36.664128,,,,
01/11/2024,PRZEPA,VE53J01,BB51A02,BB,VE,42,68241.51115,,,,
30/09/2024,DAYAEB,VCOUTA02,BC26A01,BC,VC,41,2.559948,,,,
01/10/2024,SEMEHA,VGOUTJ02,AY58A01,AY,VG,41,4.428483,,,,
03/10/2024,EBRAMO,VCOUTG02,BC39A01,BC,VC,41,2.781135,,,,
03/10/2024,JAWAAL,VCOUTA01,BC39A01,BC,VC,41,179.36268,,,,
03/10/2024,RASHZA,VGOUTJ02,AY71A02,AY,VG,41,80.623381,,,,
03/10/2024,SANDDE,VAOUTC01,BE65A01,BE,VA,41,437.685353,,,,
04/10/2024,DHILGU,VGOUTJ02,AY23A01,AY,VG,41,1229.370541,,,,
04/10/2024,KARDZO,VE12N01,BA10A01,BA,VE,41,89.787169,,,,
04/10/2024,KARDZO,VE12N01,BA10A01,BA,VE,41,101.19056,,,,
06/10/2024,PANKPA,VA12E02,BE30A02,BE,VA,41,296.113662,,,,
06/10/2024,PANKPA,VA12E02,BE30A02,BE,VA,41,486.458631,,,,
06/10/2024,PRZEPA,VD40E02,BB51A02,BB,VD,41,1823.1848,,,,
06/10/2024,SINGSH,VC27J02,BC34A01,BC,VC,41,257.482418,,,,
06/10/2024,SINGSH,VC27J02,BC34A01,BC,VC,41,261.887599,,,,
06/10/2024,SINGSH,VC27J02,BC34A01,BC,VC,41,356.321322,,,,
06/10/2024,SINGSH,VC70G01,BC34A01,BC,VC,41,358.386266,,,,
06/10/2024,SINGSH,VC27J02,BC34A01,BC,VC,41,412.0041,,,,
06/10/2024,SINGSH,VC70G01,BC34A01,BC,VC,41,413.962128,,,,
06/10/2024,SINGSH,VC27J02,BC34A01,BC,VC,41,570.353698,,,,
07/10/2024,KHASH,VC46A02,BC03A02,BC,VC,41,703.994497,,,,
07/10/2024,SAMAAB,VFOUTA01,AZ57A01,AZ,VF,41,53.787448,,,,
10/10/2024,JAWAAL,VC42C02,BC30A02,BC,VC,41,2.5781330000000002,,,,
10/10/2024,KUMAAJ,VC59C01,BC18A02,BC,VC,41,15.35022,,,,
10/10/2024,KUMAAJ,VC59C01,BC18A02,BC,VC,41,32.682797,,,,
