DATE,USER_ID,LAST_PICK_TIME,ISTOP_TIME,TIME_LOST_DUE_TO_EARLY_ISTOP
2024-12-10,KHAZAH,2024-12-10 01:45:30.248615,2024-12-10 01:53:25,0 days 00:07:54.751385
2024-12-10,SETHRO,2024-12-10 07:55:53.080315,2024-12-10 11:31:31,0 days 03:35:37.919685
2024-12-10,SAIFAR,2024-12-10 01:28:38.343700,2024-12-10 01:54:29,0 days 00:25:50.656300
2024-12-10,KUMANA,2024-12-10 01:51:52.526649,2024-12-10 01:54:44,0 days 00:02:51.473351
2024-12-10,BASHAY,2024-12-10 01:52:00.068352,2024-12-10 01:55:01,0 days 00:03:00.931648
2024-12-10,HAMZAM,2024-12-10 01:52:43.306199,2024-12-10 01:55:06,0 days 00:02:22.693801
2024-12-10,MUHAAW,2024-12-10 01:52:18.893462,2024-12-10 01:55:10,0 days 00:02:51.106538
2024-12-10,KHANSH,2024-12-10 01:53:35.423895,2024-12-10 01:55:48,0 days 00:02:12.576105
2024-12-10,ANDRDR,2024-12-10 01:48:28.268468,2024-12-10 01:56:06,0 days 00:07:37.731532
2024-12-10,ARATAN,2024-12-10 01:42:56.126307,2024-12-10 01:56:06,0 days 00:13:09.873693
2024-12-10,HASSAS,2024-12-10 08:54:23.607718,2024-12-10 11:34:40,0 days 02:40:16.392282
2024-12-10,SONUSO,2024-12-10 01:53:57.499071,2024-12-10 01:56:18,0 days 00:02:20.500929
2024-12-10,SADIMU,2024-12-10 07:53:49.963899,2024-12-10 07:54:57,0 days 00:01:07.036101
2024-12-10,SINGUR,2024-12-10 01:54:50.821971,2024-12-10 01:58:53,0 days 00:04:02.178029
2024-12-10,ASGHRI,2024-12-10 01:16:01.119703,2024-12-10 01:59:06,0 days 00:43:04.880297
2024-12-10,KUMATA,2024-12-10 07:55:02.105698,2024-12-10 07:55:51,0 days 00:00:48.894302
2024-12-10,ALIMAJ,2024-12-10 03:12:02.484980,2024-12-10 04:35:12,0 days 01:23:09.515020
2024-12-10,KHANAN,2024-12-10 10:03:36.827717,2024-12-10 12:30:43,0 days 02:27:06.172283
2024-12-10,KHANOH,2024-12-10 01:05:07.821366,2024-12-10 02:01:00,0 days 00:55:52.178634
2024-12-10,KUMARA,2024-12-10 10:29:18.257960,2024-12-10 12:37:01,0 days 02:07:42.742040
2024-12-10,KIANKH,2024-12-10 08:19:20.394991,2024-12-10 11:51:19,0 days 03:31:58.605009
2024-12-10,MUZAMU,2024-12-10 13:51:36.673834,2024-12-10 21:30:17,0 days 07:38:40.326166
2024-12-10,RAZAAL,2024-12-10 09:52:17.795404,2024-12-10 10:30:12,0 days 00:37:54.204596
2024-12-10,GNACBO,2024-12-10 21:30:06.782263,2024-12-10 21:34:17,0 days 00:04:10.217737
2024-12-10,KHAJUN,2024-12-10 01:11:06.944037,2024-12-10 02:13:41,0 days 01:02:34.055963
2024-12-10,EJITIG,2024-12-10 21:34:16.141349,2024-12-10 21:39:36,0 days 00:05:19.858651
2024-12-10,DHINPU,2024-12-10 21:40:38.081218,2024-12-10 21:41:04,0 days 00:00:25.918782
2024-12-10,ASADKH,2024-12-10 02:10:36.488937,2024-12-10 02:17:58,0 days 00:07:21.511063
2024-12-10,ZAWAZA,2024-12-10 23:39:59.627886,2024-12-10 23:53:39,0 days 00:13:39.372114
2024-12-10,RACHPA,2024-12-10 21:38:17.140565,2024-12-10 21:41:54,0 days 00:03:36.859435
2024-12-10,MANJSI,2024-12-10 07:49:04.687714,2024-12-10 21:42:50,0 days 13:53:45.312286
2024-12-10,SIRANA,2024-12-10 21:38:11.369752,2024-12-10 21:42:57,0 days 00:04:45.630248
2024-12-10,SINGBI,2024-12-10 21:40:55.749073,2024-12-10 21:43:12,0 days 00:02:16.250927
2024-12-10,OGBAJO,2024-12-10 21:37:39.400247,2024-12-10 21:43:24,0 days 00:05:44.599753
2024-12-10,SIKHSA,2024-12-10 09:20:50.580437,2024-12-10 10:43:32,0 days 01:22:41.419563
2024-12-10,RAHIAM,2024-12-10 21:40:05.188223,2024-12-10 21:43:50,0 days 00:03:44.811777
2024-12-10,REBIMA,2024-12-10 21:45:06.176952,2024-12-10 21:45:12,0 days 00:00:05.823048
2024-12-10,POPADE,2024-12-10 21:41:15.465740,2024-12-10 21:45:18,0 days 00:04:02.534260
2024-12-10,AHMEAQ,2024-12-10 21:44:34.052074,2024-12-10 21:45:46,0 days 00:01:11.947926
2024-12-10,KHAZAH,2024-12-10 21:39:51.815056,2024-12-10 21:45:49,0 days 00:05:57.184944
2024-12-10,SADIMU,2024-12-10 07:53:49.963899,2024-12-10 21:46:16,0 days 13:52:26.036101
2024-12-10,IWANSY,2024-12-10 21:40:10.234518,2024-12-10 21:47:11,0 days 00:07:00.765482
2024-12-10,JAVEAH,2024-12-10 21:07:45.673636,2024-12-10 21:47:29,0 days 00:39:43.326364
2024-12-10,PERVIR,2024-12-10 11:11:26.118956,2024-12-10 13:01:40,0 days 01:50:13.881044
2024-12-10,HMEDMU,2024-12-10 21:44:23.256154,2024-12-10 21:48:24,0 days 00:04:00.743846
2024-12-10,RAHMMU,2024-12-10 21:46:05.573958,2024-12-10 21:48:28,0 days 00:02:22.426042
2024-12-10,ABBAWA,2024-12-10 05:56:18.014366,2024-12-10 21:48:46,0 days 15:52:27.985634
2024-12-10,WAQAAH,2024-12-10 16:22:56.673839,2024-12-10 21:49:53,0 days 05:26:56.326161
2024-12-10,HAMMAL,2024-12-10 21:50:00.198587,2024-12-10 21:50:07,0 days 00:00:06.801413
2024-12-10,MAHMHA,2024-12-10 21:43:35.170439,2024-12-10 21:50:24,0 days 00:06:48.829561
2024-12-10,MENDAN,2024-12-10 21:45:54.413244,2024-12-10 21:50:35,0 days 00:04:40.586756
2024-12-10,TABIAL,2024-12-10 16:39:27.701318,2024-12-10 21:50:36,0 days 05:11:08.298682
2024-12-10,YOUNWA,2024-12-10 21:19:08.680342,2024-12-10 21:50:53,0 days 00:31:44.319658
2024-12-10,KUBAND,2024-12-10 20:35:30.481367,2024-12-10 21:51:28,0 days 01:15:57.518633
2024-12-10,BUTTAZ,2024-12-10 21:48:55.991160,2024-12-10 21:51:48,0 days 00:02:52.008840
2024-12-10,MANSUS,2024-12-10 21:47:39.646296,2024-12-10 21:51:56,0 days 00:04:16.353704
2024-12-10,REARPA,2024-12-10 21:32:33.319586,2024-12-10 21:52:05,0 days 00:19:31.680414
2024-12-10,HASSAR,2024-12-10 19:52:36.997779,2024-12-10 21:52:08,0 days 01:59:31.002221
2024-12-10,ISMAMU,2024-12-10 21:35:57.413882,2024-12-10 21:52:09,0 days 00:16:11.586118
2024-12-10,KRISDE,2024-12-10 21:26:29.180403,2024-12-10 21:52:18,0 days 00:25:48.819597
2024-12-10,MEHMAK,2024-12-10 21:41:39.390903,2024-12-10 21:52:38,0 days 00:10:58.609097
2024-12-10,JUNAMO,2024-12-10 21:45:51.363912,2024-12-10 21:53:02,0 days 00:07:10.636088
2024-12-10,RIASTA,2024-12-10 21:51:32.475377,2024-12-10 21:53:21,0 days 00:01:48.524623
2024-12-10,RAZAUS,2024-12-10 21:51:47.640982,2024-12-10 21:53:22,0 days 00:01:34.359018
2024-12-10,SZAKMA,2024-12-10 21:49:15.423486,2024-12-10 21:53:38,0 days 00:04:22.576514
2024-12-10,IQBAUS,2024-12-10 21:52:56.634184,2024-12-10 21:53:43,0 days 00:00:46.365816
2024-12-10,HANIKH,2024-12-10 18:15:42.488300,2024-12-10 21:53:45,0 days 03:38:02.511700
2024-12-10,ASADKH,2024-12-10 02:10:36.488937,2024-12-10 02:30:26,0 days 00:19:49.511063
2024-12-10,SAYYTO,2024-12-10 21:38:42.057952,2024-12-10 21:53:47,0 days 00:15:04.942048
2024-12-10,HARIMU,2024-12-10 21:49:37.583843,2024-12-10 21:53:50,0 days 00:04:12.416157
2024-12-10,KUMANA,2024-12-10 21:49:29.893690,2024-12-10 21:54:04,0 days 00:04:34.106310
2024-12-10,HAMIFA,2024-12-10 21:47:10.867767,2024-12-10 21:54:07,0 days 00:06:56.132233
2024-12-10,PROCDO,2024-12-10 21:41:47.147536,2024-12-10 21:54:14,0 days 00:12:26.852464
2024-12-10,HARRBR,2024-12-10 21:44:09.106780,2024-12-10 21:54:15,0 days 00:10:05.893220
2024-12-10,ARYAVI,2024-12-10 21:34:33.097012,2024-12-10 21:54:16,0 days 00:19:42.902988
2024-12-10,BRAIRA,2024-12-10 13:08:35.399594,2024-12-10 13:12:49,0 days 00:04:13.600406
2024-12-10,SIKANS,2024-12-10 21:49:55.770079,2024-12-10 21:54:45,0 days 00:04:49.229921
2024-12-10,USMAMU,2024-12-10 21:50:47.575172,2024-12-10 21:54:50,0 days 00:04:02.424828
2024-12-10,AHMERA,2024-12-10 21:46:56.260335,2024-12-10 21:54:58,0 days 00:08:01.739665
2024-12-10,HUSMUZ,2024-12-10 21:51:07.218528,2024-12-10 21:55:02,0 days 00:03:54.781472
2024-12-10,QADHA,2024-12-10 21:47:57.311412,2024-12-10 21:55:02,0 days 00:07:04.688588
2024-12-10,MOHAIQ,2024-12-10 08:41:35.519014,2024-12-10 08:42:07,0 days 00:00:31.480986
2024-12-10,DHOOBA,2024-12-10 21:50:09.186256,2024-12-10 21:55:05,0 days 00:04:55.813744
2024-12-10,KAYELE,2024-12-10 21:50:10.777244,2024-12-10 21:55:07,0 days 00:04:56.222756
2024-12-10,TAGUST,2024-12-10 21:51:17.764136,2024-12-10 21:55:07,0 days 00:03:49.235864
2024-12-10,ILYAMU,2024-12-10 21:47:52.467126,2024-12-10 21:55:13,0 days 00:07:20.532874
2024-12-10,KHANGH,2024-12-10 21:52:49.633103,2024-12-10 21:55:19,0 days 00:02:29.366897
2024-12-10,RASHHA,2024-12-10 21:40:55.328227,2024-12-10 21:55:20,0 days 00:14:24.671773
2024-12-10,GHAZAH,2024-12-10 21:42:09.737662,2024-12-10 21:55:24,0 days 00:13:14.262338
2024-12-10,ADEABA,2024-12-10 21:41:29.768549,2024-12-10 21:55:32,0 days 00:14:02.231451
2024-12-10,RAZAFA,2024-12-10 21:50:08.405527,2024-12-10 21:55:35,0 days 00:05:26.594473
2024-12-10,ABDUBA,2024-12-10 21:50:20.633673,2024-12-10 21:55:36,0 days 00:05:15.366327
2024-12-10,ATIQMU,2024-12-10 21:50:40.968244,2024-12-10 21:55:44,0 days 00:05:03.031756
2024-12-10,MCGAFR,2024-12-10 21:52:37.552205,2024-12-10 21:55:50,0 days 00:03:12.447795
2024-12-10,AGEAS,2024-12-10 21:49:37.166172,2024-12-10 21:55:53,0 days 00:06:15.833828
2024-12-10,KHALSA,2024-12-10 21:49:03.154779,2024-12-10 21:55:55,0 days 00:06:51.845221
2024-12-10,BARAUB,2024-12-10 21:51:26.902880,2024-12-10 21:55:57,0 days 00:04:30.097120
2024-12-10,KHANRA,2024-12-10 12:44:27.442962,2024-12-10 21:56:01,0 days 09:11:33.557038
2024-12-10,SINGKA,2024-12-10 21:46:59.063476,2024-12-10 21:56:12,0 days 00:09:12.936524
2024-12-10,MEARJO,2024-12-10 21:30:30.829670,2024-12-10 21:56:21,0 days 00:25:50.170330
2024-12-10,FARHMO,2024-12-10 12:59:25.018252,2024-12-10 13:21:32,0 days 00:22:06.981748
2024-12-10,SAQIAL,2024-12-10 12:55:38.500552,2024-12-10 13:21:34,0 days 00:25:55.499448
2024-12-10,KUMANK,2024-12-10 13:20:48.218524,2024-12-10 13:21:37,0 days 00:00:48.781476
2024-12-10,MAHMQA,2024-12-10 12:59:45.847051,2024-12-10 13:21:39,0 days 00:21:53.152949
2024-12-10,MEHMHA,2024-12-10 09:33:20.083898,2024-12-10 13:21:50,0 days 03:48:29.916102
2024-12-10,MUHAHA,2024-12-10 21:53:20.242906,2024-12-10 21:56:36,0 days 00:03:15.757094
2024-12-10,SHAHAS,2024-12-10 21:45:57.621485,2024-12-10 21:56:45,0 days 00:10:47.378515
2024-12-10,KAURCH,2024-12-10 21:48:34.414089,2024-12-10 21:57:01,0 days 00:08:26.585911
2024-12-10,AMALIK,2024-12-10 21:48:34.056674,2024-12-10 21:57:19,0 days 00:08:44.943326
2024-12-10,JUNAYA,2024-12-10 21:49:22.086267,2024-12-10 21:57:39,0 days 00:08:16.913733
2024-12-10,JASING,2024-12-10 13:22:07.680202,2024-12-10 13:22:57,0 days 00:00:49.319798
2024-12-10,WUSIUW,2024-12-10 10:02:42.627112,2024-12-10 13:22:59,0 days 03:20:16.372888
2024-12-10,MUBAHA,2024-12-10 21:50:45.556373,2024-12-10 21:58:12,0 days 00:07:26.443627
2024-12-10,SAIFMU,2024-12-10 21:52:49.970463,2024-12-10 21:58:34,0 days 00:05:44.029537
2024-12-10,AKHTHA,2024-12-10 21:51:04.314080,2024-12-10 21:58:41,0 days 00:07:36.685920
2024-12-10,RASHZE,2024-12-10 21:49:24.999077,2024-12-10 21:58:45,0 days 00:09:20.000923
2024-12-10,ZAHIKA,2024-12-10 21:47:37.597479,2024-12-10 21:58:51,0 days 00:11:13.402521
2024-12-10,WAQAHU,2024-12-10 21:52:57.045831,2024-12-10 21:58:54,0 days 00:05:56.954169
2024-12-10,SHAZMO,2024-12-10 21:38:03.146645,2024-12-10 21:59:30,0 days 00:21:26.853355
2024-12-10,TARIAR,2024-12-10 13:19:39.699850,2024-12-10 13:23:15,0 days 00:03:35.300150
2024-12-10,AKMUHA,2024-12-10 13:08:28.686817,2024-12-10 13:23:25,0 days 00:14:56.313183
2024-12-10,SALEQA,2024-12-10 13:13:49.700660,2024-12-10 13:23:29,0 days 00:09:39.299340
2024-12-10,HAYAMO,2024-12-10 21:47:03.516139,2024-12-10 22:01:00,0 days 00:13:56.483861
2024-12-10,FAKHAN,2024-12-10 21:47:30.191470,2024-12-10 22:04:21,0 days 00:16:50.808530
2024-12-10,HASSAR,2024-12-10 13:24:17.269856,2024-12-10 13:24:28,0 days 00:00:10.730144
2024-12-10,LOVELO,2024-12-10 13:24:41.440698,2024-12-10 13:24:44,0 days 00:00:02.559302
2024-12-10,JOEPRY,2024-12-10 13:10:35.729599,2024-12-10 13:25:36,0 days 00:15:00.270401
2024-12-10,MUZAMU,2024-12-10 13:06:40.124992,2024-12-10 13:25:36,0 days 00:18:55.875008
2024-12-10,ABBANA,2024-12-10 13:25:08.693264,2024-12-10 13:25:37,0 days 00:00:28.306736
2024-12-10,RAUDAR,2024-12-10 10:21:06.038693,2024-12-10 13:26:08,0 days 03:05:01.961307
2024-12-10,ASADKH,2024-12-10 02:10:36.488937,2024-12-10 05:36:30,0 days 03:25:53.511063
2024-12-10,TURTRO,2024-12-10 13:26:53.026881,2024-12-10 13:27:38,0 days 00:00:44.973119
2024-12-10,BAJMAR,2024-12-10 13:27:14.132975,2024-12-10 13:27:39,0 days 00:00:24.867025
2024-12-10,VIGEDH,2024-12-10 02:53:37.768027,2024-12-10 03:00:40,0 days 00:07:02.231973
2024-12-10,KHANTA,2024-12-10 05:41:58.949470,2024-12-10 05:43:41,0 days 00:01:42.050530
2024-12-10,BRAIRA,2024-12-10 13:08:35.399594,2024-12-10 13:31:55,0 days 00:23:19.600406
2024-12-10,MEHSAA,2024-12-10 05:33:07.329335,2024-12-10 05:49:44,0 days 00:16:36.670665
2024-12-10,FARILA,2024-12-10 05:44:36.710442,2024-12-10 05:50:16,0 days 00:05:39.289558
2024-12-10,RAUDAR,2024-12-10 10:21:06.038693,2024-12-10 13:34:27,0 days 03:13:20.961307
2024-12-10,KARLZA,2024-12-10 07:49:01.718946,2024-12-10 09:13:19,0 days 01:24:17.281054
2024-12-10,RAUDAR,2024-12-10 10:21:06.038693,2024-12-10 13:35:50,0 days 03:14:43.961307
2024-12-10,IMRAKH,2024-12-10 02:19:25.644961,2024-12-10 05:50:22,0 days 03:30:56.355039
2024-12-10,ARSMOH,2024-12-10 05:48:04.093095,2024-12-10 05:50:42,0 days 00:02:37.906905
2024-12-10,HOPKST,2024-12-10 04:04:33.276477,2024-12-10 05:50:49,0 days 01:46:15.723523
2024-12-10,MROZKA,2024-12-10 05:51:21.546897,2024-12-10 05:52:04,0 days 00:00:42.453103
2024-12-10,KAPUMA,2024-12-10 05:49:53.054002,2024-12-10 05:53:06,0 days 00:03:12.945998
2024-12-10,SHAMOH,2024-12-10 05:42:42.917390,2024-12-10 05:53:21,0 days 00:10:38.082610
2024-12-10,ALSHMO,2024-12-10 04:15:31.142779,2024-12-10 05:54:02,0 days 01:38:30.857221
2024-12-10,JAWAMI,2024-12-10 03:16:07.419732,2024-12-10 05:54:12,0 days 02:38:04.580268
2024-12-10,MIRES,2024-12-10 05:29:31.009341,2024-12-10 05:54:15,0 days 00:24:43.990659
